<UNK> 1.0	SPN
CHỊT 1.0	CH I TC
HUÂN 1.0	H W AA NZ
SÍNH 1.0	S I NGZ
XẮT 1.0	S AW TC
RỬA 1.0	R WA
DÒI 1.0	D O IZ
TƯA 1.0	T WA
SỨT 1.0	S UW TC
CHẺ 1.0	CH E
VÒM 1.0	V O MZ
XÁN 1.0	S A NZ
LẠN 1.0	L A NZ
HẾN 1.0	H EE NZ
BÂU 1.0	B AA UZ
LANG 1.0	L A NGZ
CHÔN 1.0	CH OO NZ
KÍP 1.0	K I PC
VIỀN 1.0	V IE NZ
SẪM 1.0	S AA MZ
TIỀM 1.0	T IE MZ
CỒN 1.0	K OO NZ
LỘP 1.0	L OO PC
ĐỘP 1.0	DD OO PC
TỰU 1.0	T UW UZ
SƯỚT 1.0	S WA TC
BẦM 1.0	B AA MZ
GIẬP 1.0	D AA PC
TRỌC 1.0	TR O KC
TỈA 1.0	T IE
NẢ 1.0	N A
THỊNH 1.0	TH I NGZ
GIẤU 1.0	D AA UZ
GIẾM 1.0	G IE MZ
MẤN 1.0	M AA NZ
TẨY 1.0	T AA IZ
NHÓP 1.0	NH O PC
NHÉP 1.0	NH E PC
NGÃI 1.0	NG A IZ
CỎM 1.0	K O MZ
PIÊU 1.0	P IE UZ
GIỜI 1.0	D OW IZ
KHƯƠM 1.0	KH WA MZ
BỊCH 1.0	B I KC
TÉC 1.0	T E KC
RỦA 1.0	R W A
BẮNG 1.0	B AW NGZ
ĐẼO 1.0	DD E UZ
CHÀM 1.0	CH A MZ
NGÀM 1.0	NG A MZ
RÓI 1.0	R O IZ
TÍU 1.0	T I UZ
TÍT 1.0	T I TC
THON 1.0	TH O NZ
LÓC 1.0	L O KC
BỀN 1.0	B EE NZ
LUỖNG 1.0	L UO NGZ
TRĨ 1.0	TR I
LU 1.0	L U
THUẾ 1.0	TH W EE
CHÓT 1.0	CH O TC
NHỜN 1.0	NH OW NZ
PHỀU 1.0	PH EE UZ
PHÀO 1.0	PH A UZ
CHẰM 1.0	CH AW MZ
SÈO 1.0	S E UZ
TÍP 1.0	T I PC
THẠNH 1.0	TH A NGZ
XỐP 1.0	S OO PC
MẦU 1.0	M AA UZ
QUÃNG 1.0	K W A NGZ
TẤY 1.0	T AA IZ
ĐẰM 1.0	DD AW MZ
NGÓC 1.0	NG O KC
NGÁCH 1.0	NG A KC
HIÊNG 1.0	H IE NGZ
THẠO 1.0	TH A UZ
HÁN 1.0	H A NZ
GHỂNH 1.0	G EE NGZ
GẶM 1.0	G AW MZ
NHẤM 1.0	NH AA MZ
NÉP 1.0	N E PC
SỚI 1.0	S OW IZ
OÀNH 1.0	W A NGZ
BỌP 1.0	B O PC
QUẪN 1.0	K W AA NZ
BÁCH 1.0	B A KC
LÕI 1.0	L O IZ
GẬY 1.0	G AA IZ
TRIỆNG 1.0	TR IE NGZ
SẠO 1.0	S A UZ
HÚP 1.0	H U PC
CHÁO 1.0	CH A UZ
SỚ 1.0	S OW
QUĂNG 1.0	K W AW NGZ
NGÚNG 1.0	NG U NGZ
NGUẨY 1.0	NG W AA IZ
QUÀY 1.0	K W A IZ
NHẴN 1.0	NH AW NZ
THÍN 1.0	TH I NZ
RỆ 1.0	R EE
NHEO 1.0	NH E UZ
LỨA 1.0	L WA
LẬN 1.0	L AA NZ
ĐẬN 1.0	DD AA NZ
MÚA 1.0	M W A
SÊNH 1.0	S EE NGZ
TRIỀU 1.0	TR IE UZ
LẮP 1.0	L AW PC
CÓP 1.0	K O PC
XỒNG 1.0	S OO NGZ
SAN 1.0	S A NZ
GIẠT 1.0	D A TC
VÁCH 1.0	V A KC
KHÈO 1.0	KH E UZ
SÊU 1.0	S EE UZ
TÉP 1.0	T E PC
CHẼN 1.0	CH E NZ
ĐŨNG 1.0	DD U NGZ
KHƠI 1.0	KH OW IZ
UYÊN 1.0	W IE NZ
RẾN 1.0	R EE NZ
GƯỜNG 1.0	G WA NGZ
GƯỢNG 1.0	G WA NGZ
ĐẶN 1.0	DD AW NZ
KHIÊNG 1.0	KH IE NGZ
ĐÚ 1.0	DD U
DẬM 1.0	D AA MZ
RÁNG 1.0	R A NGZ
VƯỞNG 1.0	V WA NGZ
MẬU 1.0	M AA UZ
LỤNG 1.0	L U NGZ
TRỔ 1.0	TR OO
NHÍM 1.0	NH I MZ
CHẠP 1.0	CH A PC
ẰNG 1.0	AW NGZ
ẶC 1.0	AW KC
LẲN 1.0	L AW NZ
KHẢY 1.0	KH A IZ
NÚNG 1.0	N U NGZ
NÍNH 1.0	N I NGZ
MŨ 1.0	M U
MIỆN 1.0	M IE NZ
HIA 1.0	H IE
GHỀNH 1.0	G EE NGZ
MÂN 1.0	M AA NZ
NHỒN 1.0	NH OO NZ
NHỘT 1.0	NH OO TC
NGỬNG 1.0	NG UW NGZ
XỈN 1.0	S I NZ
DIẾT 1.0	D IE TC
SAM 1.0	S A MZ
NGỤA 1.0	NG W A
NẠT 1.0	N A TC
ÚNG 1.0	U NGZ
MẦN 1.0	M AA NZ
CỘI 1.0	K OO IZ
SẦU 1.0	S AA UZ
HEN 1.0	H E NZ
SÓN 1.0	S O NZ
QUẶC 1.0	K W AW KC
CỰ 1.0	K UW
NỰ 1.0	N UW
INH 1.0	I NGZ
HỪ 1.0	H UW
HỰ 1.0	H UW
HỚ 1.0	H OW
HÊNH 1.0	H EE NGZ
ĐẬM 1.0	DD AA MZ
THÀ 1.0	TH A
HẮT 1.0	H AW TC
RỆU 1.0	R EE UZ
GẰN 1.0	G AW NZ
KHẠC 1.0	KH A KC
ĐÀM 1.0	DD A MZ
GĂM 1.0	G AW MZ
DỒI 1.0	D OO IZ
LIẾC 1.0	L IE KC
MĂM 1.0	M AW MZ
MẠP 1.0	M A PC
XEO 1.0	S E UZ
QUẮN 1.0	K W AW NZ
NGÚC 1.0	NG U KC
NANH 1.0	N A NGZ
DẠ 1.0	D A
XỐN 1.0	S OO NZ
TỄ 1.0	T EE
BO 1.0	B O
MỤN 1.0	M U NZ
KÉN 1.0	K E NZ
SẨN 1.0	S AA NZ
ĐẮN 1.0	DD AW NZ
TANH 1.0	T A NGZ
NGHẸT 1.0	NG E TC
DỖ 1.0	D OO
TRÓNG 1.0	TR O NGZ
KHUẤT 1.0	KH W AA TC
NGÁNG 1.0	NG A NGZ
GIẮT 1.0	D AW TC
CHẴN 1.0	CH AW NZ
CHỢP 1.0	CH OW PC
TỦN 1.0	T U NZ
HOẲN 1.0	H W AW NZ
TẦNG 1.0	T AA NGZ
VÊN 1.0	V EE NZ
BỬU 1.0	B UW UZ
NHẼO 1.0	NH E UZ
HỤT 1.0	H U TC
NGƯU 1.0	NG UW UZ
TƯỞI 1.0	T WA IZ
LỢM 1.0	L OW MZ
SẤU 1.0	S AA UZ
XỔNG 1.0	S OO NGZ
NGƯỚC 1.0	NG WA KC
SƯA 1.0	S WA
VẪY 1.0	V AA IZ
XÓA 1.0	S W A
CỨA 1.0	K WA
SẮNG 1.0	S AW NGZ
NẠ 1.0	N A
HƯƠU 1.0	H WA UZ
GIÓN 1.0	D O NZ
RƯỜI 1.0	R WA IZ
RƯỢI 1.0	R WA IZ
BÈN 1.0	B E NZ
HƯU 1.0	H UW UZ
NƠM 1.0	N OW MZ
NỚP 1.0	N OW PC
MỦN 1.0	M U NZ
HU 1.0	H U
TÒNG 1.0	T O NGZ
NHẪN 1.0	NH AA NZ
XOÀN 1.0	S W A NZ
MỊ 1.0	M I
KỊT 1.0	K I TC
NGỤM 1.0	NG U MZ
KHÈN 1.0	KH E NZ
RỦ 1.0	R U
DÔI 1.0	D OO IZ
LÕM 1.0	L O MZ
DONG 1.0	D O NGZ
MỬA 1.0	M WA
RẪY 1.0	R AA IZ
ĐẼ 1.0	DD E
VẤU 1.0	V AA UZ
SÂM 1.0	S AA MZ
LÕNG 1.0	L O NGZ
BÕNG 1.0	B O NGZ
THÂU 1.0	TH AA UZ
TỬA 1.0	T WA
NHÚC 1.0	NH U KC
NHŨ 1.0	NH U
KHÉT 1.0	KH E TC
SỪNG 1.0	S UW NGZ
SỎ 1.0	S O
NHOẺN 1.0	NH W E NZ
DĂM 1.0	D AW MZ
CHẦU 1.0	CH AA UZ
MỈM 1.0	M I MZ
LÍT 1.0	L I TC
BẢ 1.0	B A
VỒNG 1.0	V OO NGZ
LIẾNG 1.0	L IE NGZ
XẢM 1.0	S A MZ
LỘC 1.0	L OO KC
VÔNG 1.0	V OO NGZ
RẦU 1.0	R AA UZ
VỜN 1.0	V OW NZ
CỌP 1.0	K O PC
XOE 1.0	S W E
ĐIỀN 1.0	DD IE NZ
CHẼ 1.0	CH E
MẾU 1.0	M EE UZ
VÀN 1.0	V A NZ
XIÊU 1.0	S IE UZ
DẤY 1.0	D AA IZ
XÕA 1.0	S W A
NẮN 1.0	N AW NZ
THÓA 1.0	TH W A
UẤT 1.0	W AA TC
DÍ 1.0	D I
DÓM 1.0	D O MZ
HƯỚC 1.0	H WA KC
NHẸM 1.0	NH E MZ
ÚP 1.0	U PC
CHAI 1.0	CH A IZ
ẦU 1.0	AA UZ
Ơ 1.0	OW
ÂY 1.0	AA IZ
BOA 1.0	B W A
THỆ 1.0	TH EE
SÁP 1.0	S A PC
CỤM 1.0	K U MZ
RẠP 1.0	R A PC
KÈ 1.0	K E
NỐNG 1.0	N OO NGZ
LẤN 1.0	L AA NZ
CẠC 1.0	K A KC
MIỆT 1.0	M IE TC
KHỆ 1.0	KH EE
NỆ 1.0	N EE
TRUY 1.0	TR W I
CẬP 1.0	K AA PC
VỚ 1.0	V OW
MÈ 1.0	M E
PHỘNG 1.0	PH OO NGZ
HÈN 1.0	H E NZ
PHÍNH 1.0	PH I NGZ
ĐĨ 1.0	DD I
BỒNG 1.0	B OO NGZ
CHOÈN 1.0	CH W E NZ
BÊU 1.0	B EE UZ
XON 1.0	S O NZ
GION 1.0	D O NZ
GIỎN 1.0	D O NZ
XÙM 1.0	S U MZ
TẲN 1.0	T AW NZ
LIM 1.0	L I MZ
DIM 1.0	D I MZ
NHÈM 1.0	NH E MZ
QUYỆN 1.0	K W IE NZ
GẦU 1.0	G AA UZ
DIỆP 1.0	D IE PC
YÊNG 1.0	IE NGZ
NHƯỚNG 1.0	NH WA NGZ
GIANH 1.0	D A NGZ
XỊ 1.0	S I
CHƯ 1.0	CH UW
TRUẬT 1.0	TR W AA TC
HỚP 1.0	H OW PC
CHỒI 1.0	CH OO IZ
DỨA 1.0	D WA
SỰC 1.0	S UW KC
LIỀM 1.0	L IE MZ
KHUYNH 1.0	KH W I NGZ
DỰC 1.0	D UW KC
SỂ 1.0	S EE
LÃN 1.0	L A NZ
CỬI 1.0	K UW IZ
ĐIÊU 1.0	DD IE UZ
XƯNG 1.0	S UW NGZ
TÒM 1.0	T O MZ
DƠI 1.0	D OW IZ
RUỖNG 1.0	R UO NGZ
SỚT 1.0	S OW TC
MIỄN 1.0	M IE NZ
RỀ 1.0	R EE
CHỎN 1.0	CH O NZ
LỎN 1.0	L O NZ
GAM 1.0	G A MZ
THỎI 1.0	TH O IZ
ĐÍNH 1.0	DD I NGZ
CHỪ 1.0	CH UW
MỦI 1.0	M U IZ
TRỜ 1.0	TR OW
LỪNG 1.0	L UW NGZ
TRƠI 1.0	TR OW IZ
TẦN 1.0	T AA NZ
THÊNH 1.0	TH EE NGZ
TRỊA 1.0	TR IE
RÒM 1.0	R O MZ
TIU 1.0	T I UZ
NGHỈU 1.0	NG I UZ
KA 1.0	K A
KI 1.0	K I
KỴ 1.0	K I
DIẾC 1.0	D IE KC
THẢY 1.0	TH A IZ
XÙ 1.0	S U
LOÀNG 1.0	L W A NGZ
XOÀNG 1.0	S W A NGZ
LÈ 1.0	L E
TÈ 1.0	T E
VUỘT 1.0	V UO TC
KHỆNH 1.0	KH EE NGZ
KHẠNG 1.0	KH A NGZ
LỎNG 1.0	L O NGZ
NHÁ 1.0	NH A
NHEM 1.0	NH E MZ
ÉN 1.0	E NZ
MÓM 1.0	M O MZ
MÉM 1.0	M E MZ
HOM 1.0	H O MZ
HEM 1.0	H E MZ
CHỂNH 1.0	CH EE NGZ
RẰM 1.0	R AW MZ
THIỀN 1.0	TH IE NZ
LỜM 1.0	L OW MZ
Ỷ 1.0	I
TỌA 1.0	T W A
RÍT 1.0	R I TC
SỨ 1.0	S UW
XÔM 1.0	S OO MZ
HẴNG 1.0	H AW NGZ
ĐUNG 1.0	DD U NGZ
MO 1.0	M O
XỈA 1.0	S IE
TRẸO 1.0	TR E UZ
PHE 1.0	PH E
GIỖ 1.0	D OO
QUẢI 1.0	K W A IZ
DẢ 1.0	D A
RAI 1.0	R A IZ
DÉP 1.0	D E PC
NHÀN 1.0	NH A NZ
THÓ 1.0	TH O
DIẾU 1.0	D IE UZ
XÓC 1.0	S O KC
NHUNG 1.0	NH U NGZ
SỀN 1.0	S EE NZ
SỆT 1.0	S EE TC
LỨT 1.0	L UW TC
LỤ 1.0	L U
KHỤ 1.0	KH U
MẼ 1.0	M E
ÚY 1.0	W I
VAO 1.0	V A UZ
XÓ 1.0	S O
XỈNH 1.0	S I NGZ
KIÊM 1.0	K IE MZ
DÀ 1.0	D A
NHƯỢNG 1.0	NH WA NGZ
XỔM 1.0	S OO MZ
GẢY 1.0	G A IZ
VẠM 1.0	V A MZ
RỊT 1.0	R I TC
GIẦM 1.0	D AA MZ
GIẶM 1.0	D AW MZ
QUAI 1.0	K W A IZ
RẠT 1.0	R A TC
RỄ 1.0	R EE
BỂ 1.0	B EE
NHÓI 1.0	NH O IZ
THÀI 1.0	TH A IZ
LÀI 1.0	L A IZ
BẸT 1.0	B E TC
HOẮC 1.0	H W AW KC
LÉM 1.0	L E MZ
LỈNH 1.0	L I NGZ
MÓ 1.0	M O
ỆN 1.0	EE NZ
ỘN 1.0	OO NZ
PHỄU 1.0	PH EE UZ
THIỂN 1.0	TH IE NZ
TRÙI 1.0	TR U IZ
CẪNG 1.0	K AA NGZ
NÚC 1.0	N U KC
GỎNG 1.0	G O NGZ
NHƠI 1.0	NH OW IZ
CUỐNG 1.0	K UO NGZ
CHỰC 1.0	CH UW KC
VÀY 1.0	V A IZ
GIẶC 1.0	D AW KC
BỦA 1.0	B W A
BU 1.0	B U
GHẸO 1.0	G E UZ
LÉNG 1.0	L E NGZ
PHÉNG 1.0	PH E NGZ
XÔNG 1.0	S OO NGZ
LỊA 1.0	L IE
TÓM 1.0	T O MZ
BÁNG 1.0	B A NGZ
NỒ 1.0	N OO
TOÉT 1.0	T W E TC
QUỆNH 1.0	K W EE NGZ
QUẠNG 1.0	K W A NGZ
DỀ 1.0	D EE
KHUÂY 1.0	KH W AA IZ
KHỎA 1.0	KH W A
BÌU 1.0	B I UZ
TÁY 1.0	T A IZ
PHIẾT 1.0	PH IE TC
MAN 1.0	M A NZ
XỚI 1.0	S OW IZ
TRÁM 1.0	TR A MZ
DĂN 1.0	D AW NZ
LIỆNG 1.0	L IE NGZ
BỌNG 1.0	B O NGZ
ĐÁI 1.0	DD A IZ
HOAN 1.0	H W A NZ
NGHÊNH 1.0	NG EE NGZ
MÚ 1.0	M U
LỬ 1.0	L UW
RÃI 1.0	R A IZ
CẰN 1.0	K AW NZ
NHẰN 1.0	NH AW NZ
BƯNG 1.0	B UW NGZ
TẸO 1.0	T E UZ
DÃNG 1.0	D A NGZ
KHÁNG 1.0	KH A NGZ
ĐÁC 1.0	DD A KC
PHIỆN 1.0	PH IE NZ
NHẮT 1.0	NH AW TC
PHIẾM 1.0	PH IE MZ
THONG 1.0	TH O NGZ
KHẬT 1.0	KH AA TC
KHỪ 1.0	KH UW
CÁU 1.0	K A UZ
NGẴNG 1.0	NG AW NGZ
ỌE 1.0	W E
NGOẢNH 1.0	NG W A NGZ
MÕ 1.0	M O
LẶT 1.0	L AW TC
THỊCH 1.0	TH I KC
CỐM 1.0	K OO MZ
NGHẸO 1.0	NG E UZ
LOM 1.0	L O MZ
KHOM 1.0	KH O MZ
GỘP 1.0	G OO PC
KÉT 1.0	K E TC
THÓI 1.0	TH O IZ
KHÓE 1.0	KH W E
NGỒM 1.0	NG OO MZ
NGOÀM 1.0	NG W A MZ
XOẠC 1.0	S W A KC
LÓE 1.0	L W E
ĐỐ 1.0	DD OO
KỊ 1.0	K I
SẤY 1.0	S AA IZ
NGÓT 1.0	NG O TC
MẢ 1.0	M A
ĐÊ 1.0	DD EE
LÚN 1.0	L U NZ
RÙM 1.0	R U MZ
BENG 1.0	B E NGZ
NỘN 1.0	N OO NZ
BÙ 1.0	B U
ĐẪY 1.0	DD AA IZ
ĐÊU 1.0	DD EE UZ
RÒI 1.0	R O IZ
THỦA 1.0	TH W A
GÁN 1.0	G A NZ
CHEM 1.0	CH E MZ
NGỦI 1.0	NG U IZ
GIỦI 1.0	D U IZ
TUÂN 1.0	T W AA NZ
ĐỆ 1.0	DD EE
LŨN 1.0	L U NZ
LỚT 1.0	L OW TC
ĐỂNH 1.0	DD EE NGZ
ĐOẢNG 1.0	DD W A NGZ
RÉO 1.0	R E UZ
NẰN 1.0	N AW NZ
NÌ 1.0	N I
VẤY 1.0	V AA IZ
NĂN 1.0	N AW NZ
NỈ 1.0	N I
VÁN 1.0	V A NZ
HẠP 1.0	H A PC
TOÀI 1.0	T W A IZ
LẤT 1.0	L AA TC
NỐC 1.0	N OO KC
TẢO 1.0	T A UZ
BẤU 1.0	B AA UZ
RÚNG 1.0	R U NGZ
RUỔI 1.0	R UO IZ
LUỐNG 1.0	L UO NGZ
CHUỒN 1.0	CH UO NZ
NGẬU 1.0	NG AA UZ
LẠM 1.0	L A MZ
SUYỂN 1.0	S W IE NZ
DỜN 1.0	D OW NZ
SÕI 1.0	S O IZ
LẠO 1.0	L A UZ
CHẶNG 1.0	CH AW NGZ
LẼO 1.0	L E UZ
LỦM 1.0	L U MZ
BỦM 1.0	B U MZ
ĐƯỚC 1.0	DD WA KC
SỘT 1.0	S OO TC
SOẠT 1.0	S W A TC
TOP 1.0	T O PC
TEN 1.0	T E NZ
SẾU 1.0	S EE UZ
ẴM 1.0	AW MZ
XỚT 1.0	S OW TC
MỎM 1.0	M O MZ
ÚM 1.0	U MZ
LỮ 1.0	L UW
CHẸN 1.0	CH E NZ
TỄNH 1.0	T EE NGZ
THỰ 1.0	TH UW
LẠNG 1.0	L A NGZ
TỢP 1.0	T OW PC
ĐÊNH 1.0	DD EE NGZ
XỬNG 1.0	S UW NGZ
VỬNG 1.0	V UW NGZ
RỔ 1.0	R OO
KHẾ 1.0	KH EE
TRỊT 1.0	TR I TC
ĐỂU 1.0	DD EE UZ
BOM 1.0	B O MZ
NGỤC 1.0	NG U KC
CHÀY 1.0	CH A IZ
VUA 1.0	V UO
DẪY 1.0	D AA IZ
NGOI 1.0	NG O IZ
THỒN 1.0	TH OO NZ
CHẰN 1.0	CH AW NZ
NHÔM 1.0	NH OO MZ
HỔI 1.0	H OO IZ
ĐỚI 1.0	DD OW IZ
NOM 1.0	N O MZ
SẨY 1.0	S AA IZ
TUỘT 1.0	T UO TC
CỘP 1.0	K OO PC
TỤM 1.0	T U MZ
GIÚ 1.0	D U
NÙN 1.0	N U NZ
HOẮT 1.0	H W AW TC
SŨNG 1.0	S U NGZ
BON 1.0	B O NZ
NỌ 1.0	N O
LOẠNG 1.0	L W A NGZ
CHOẠNG 1.0	CH W A NGZ
LÚI 1.0	L U IZ
XIÊM 1.0	S IE MZ
SUYỄN 1.0	S W IE NZ
ĐOAN 1.0	DD W A NZ
TRÃI 1.0	TR A IZ
CHUÔI 1.0	CH UO IZ
LẤM 1.0	L AA MZ
TRẼN 1.0	TR E NZ
NHONG 1.0	NH O NGZ
NHÓNG 1.0	NH O NGZ
CHOẢNG 1.0	CH W A NGZ
NÊ 1.0	N EE
CHƯỚC 1.0	CH WA KC
XÔ 1.0	S OO
HỘC 1.0	H OO KC
VÁI 1.0	V A IZ
LẠY 1.0	L A IZ
ẤU 1.0	AA UZ
ÊM 1.0	EE MZ
ĐỀM 1.0	DD EE MZ
LỐ 1.0	L OO
NHỐ 1.0	NH OO
SẬP 1.0	S AA PC
CHƯỜM 1.0	CH WA MZ
NHỨ 1.0	NH UW
TRÉO 1.0	TR E UZ
NGOE 1.0	NG W E
NGÁU 1.0	NG A UZ
CẢO 1.0	K A UZ
LÒI 1.0	L O IZ
PHÒI 1.0	PH O IZ
XUỂ 1.0	S W EE
RẦY 1.0	R AA IZ
KHOÁC 1.0	KH W A KC
THUỒNG 1.0	TH UO NGZ
DOI 1.0	D O IZ
THOI 1.0	TH O IZ
LOI 1.0	L O IZ
HÁNG 1.0	H A NGZ
KHƯƠN 1.0	KH WA NZ
NÚM 1.0	N U MZ
THỤT 1.0	TH U TC
BIÊNG 1.0	B IE NGZ
BIẾC 1.0	B IE KC
XỤ 1.0	S U
BÓI 1.0	B O IZ
KHĂM 1.0	KH AW MZ
THIỆP 1.0	TH IE PC
TRÁP 1.0	TR A PC
KIỀN 1.0	K IE NZ
TRỊCH 1.0	TR I KC
HÚY 1.0	H W I
TÁNH 1.0	T A NGZ
BĨNH 1.0	B I NGZ
CÙN 1.0	K U NZ
NHÚ 1.0	NH U
CHÉT 1.0	CH E TC
KHUẨN 1.0	KH W AA NZ
ỈU 1.0	I UZ
XÌU 1.0	S I UZ
NHÔN 1.0	NH OO NZ
NHAO 1.0	NH A UZ
NGỒN 1.0	NG OO NZ
NGỘN 1.0	NG OO NZ
PHÌ 1.0	PH I
KIÊNG 1.0	K IE NGZ
CỮ 1.0	K UW
HÓI 1.0	H O IZ
HẶC 1.0	H AW KC
LÌA 1.0	L IE
ĐẮC 1.0	DD AW KC
TUỲ 1.0	T W I
NIỆU 1.0	N IE UZ
LÔM 1.0	L OO MZ
CÔM 1.0	K OO MZ
TRỘ 1.0	TR OO
THỒI 1.0	TH OO IZ
NHẶM 1.0	NH AW MZ
THỒ 1.0	TH OO
CHUỖI 1.0	CH UO IZ
VANH 1.0	V A NGZ
ÁCH 1.0	A KC
NGẬY 1.0	NG AA IZ
HỢM 1.0	H OW MZ
HĨNH 1.0	H I NGZ
TÌ 1.0	T I
TŨM 1.0	T U MZ
KHÚ 1.0	KH U
PHỆNH 1.0	PH EE NGZ
QUỈ 1.0	K W I
RIẾP 1.0	R IE PC
RẦM 1.0	R AA MZ
RỘ 1.0	R OO
NGỘ 1.0	NG OO
NHÁNG 1.0	NH A NGZ
YỂM 1.0	IE MZ
KÍT 1.0	K I TC
GHIM 1.0	G I MZ
ÒNG 1.0	O NGZ
VIỂN 1.0	V IE NZ
DÌU 1.0	D I UZ
ỎN 1.0	O NZ
ẺN 1.0	E NZ
MỒI 1.0	M OO IZ
OE 1.0	W E
Ú 1.0	U
NỂ 1.0	N EE
KHẢI 1.0	KH A IZ
DIÊM 1.0	D IE MZ
CỚ 1.0	K OW
TÀO 1.0	T A UZ
CHÌU 1.0	CH I UZ
ĐÚP 1.0	DD U PC
NIẾT 1.0	N IE TC
SỒ 1.0	S OO
GẠN 1.0	G A NZ
ỨC 1.0	UW KC
GẶNG 1.0	G AW NGZ
ĐÓI 1.0	DD O IZ
NỎ 1.0	N O
KHIẾP 1.0	KH IE PC
RÈO 1.0	R E UZ
CHỘP 1.0	CH OO PC
TỞM 1.0	T OW MZ
SẶC 1.0	S AW KC
SỤA 1.0	S W A
E 1.0	E
NGỢM 1.0	NG OW MZ
CHIẾNG 1.0	CH IE NGZ
ÙN 1.0	U NZ
TRIỀNG 1.0	TR IE NGZ
HẬP 1.0	H AA PC
MUÔNG 1.0	M UO NGZ
GẦM 1.0	G AA MZ
XOĂN 1.0	S W AW NZ
TRỮ 1.0	TR UW
VEO 1.0	V E UZ
CÕNG 1.0	K O NGZ
SẮN 1.0	S AW NZ
RƯỚI 1.0	R WA IZ
BỘNG 1.0	B OO NGZ
ĐẨU 1.0	DD AA UZ
BỘI 1.0	B OO IZ
DUA 1.0	D UO
NHOAI 1.0	NH W A IZ
VÒ 1.0	V O
NỚ 1.0	N OW
CHẨN 1.0	CH AA NZ
PHẠC 1.0	PH A KC
PHẾCH 1.0	PH EE KC
ỈA 1.0	IE
XÂM 1.0	S AA MZ
KHẤN 1.0	KH AA NZ
VÓT 1.0	V O TC
BỊU 1.0	B I UZ
GÀI 1.0	G A IZ
CỐNG 1.0	K OO NGZ
KHƯỚC 1.0	KH WA KC
PHUY 1.0	PH W I
ANG 1.0	A NGZ
NHẪY 1.0	NH AA IZ
CHÊM 1.0	CH EE MZ
BẰM 1.0	B AW MZ
XOEN 1.0	S W E NZ
XOÉT 1.0	S W E TC
TAM 1.0	T A MZ
QUẮC 1.0	K W AW KC
LỐP 1.0	L OO PC
NGAI 1.0	NG A IZ
BƯU 1.0	B UW UZ
NHÂM 1.0	NH AA MZ
TÈN 1.0	T E NZ
TÉN 1.0	T E NZ
LOẮT 1.0	L W AW TC
CHOẮT 1.0	CH W AW TC
NHOM 1.0	NH O MZ
VẮC 1.0	V AW KC
HỚN 1.0	H OW NZ
TỰA 1.0	T WA
CAY 1.0	K A IZ
XÈ 1.0	S E
VẾ 1.0	V EE
GU 1.0	G U
PHÚNG 1.0	PH U NGZ
NGOẴNG 1.0	NG W AW NGZ
CHUỒI 1.0	CH UO IZ
NGỖ 1.0	NG OO
LŨM 1.0	L U MZ
BŨM 1.0	B U MZ
GA 1.0	G A
NGƯỠNG 1.0	NG WA NGZ
THÍP 1.0	TH I PC
XÀM 1.0	S A MZ
XẠP 1.0	S A PC
TRƯ 1.0	TR UW
TẦY 1.0	T AA IZ
MẰN 1.0	M AW NZ
RÈM 1.0	R E MZ
THIN 1.0	TH I NZ
THÍT 1.0	TH I TC
CHẨM 1.0	CH AA MZ
CỌT 1.0	K O TC
DẠN 1.0	D A NZ
NHỎM 1.0	NH O MZ
SỚN 1.0	S OW NZ
ẨU 1.0	AA UZ
NGUYỆT 1.0	NG W IE TC
GHEN 1.0	G E NZ
TỴ 1.0	T I
PHỐC 1.0	PH OO KC
NHÁO 1.0	NH A UZ
NHÁC 1.0	NH A KC
ĐỢP 1.0	DD OW PC
TƯỜU 1.0	T WA UZ
TÀY 1.0	T A IZ
NÙNG 1.0	N U NGZ
XỢT 1.0	S OW TC
ĐỊU 1.0	DD I UZ
ĐÉC 1.0	DD E KC
CHÒ 1.0	CH O
RỢI 1.0	R OW IZ
CUỖM 1.0	K UO MZ
NGỬI 1.0	NG UW IZ
NGHẺO 1.0	NG E UZ
BIẾU 1.0	B IE UZ
KHƠ 1.0	KH OW
KHỚ 1.0	KH OW
Ứ 1.0	UW
NÓT 1.0	N O TC
KHOẢNH 1.0	KH W A NGZ
Ớ 1.0	OW
BÉNG 1.0	B E NGZ
GIẸO 1.0	D E UZ
GIỌ 1.0	D O
CƯA 1.0	K WA
ĐẢN 1.0	DD A NZ
GIẰNG 1.0	D AW NGZ
TẶC 1.0	T AW KC
LỞN 1.0	L OW NZ
VỞN 1.0	V OW NZ
OẮT 1.0	W AW TC
PHUNG 1.0	PH U NGZ
NỘC 1.0	N OO KC
HÃN 1.0	H A NZ
KHẮM 1.0	KH AW MZ
ĐỤN 1.0	DD U NZ
ĐANH 1.0	DD A NGZ
XỌC 1.0	S O KC
THẲM 1.0	TH AW MZ
RẾ 1.0	R EE
CỤP 1.0	K U PC
CUN 1.0	K U NZ
TẨM 1.0	T AA MZ
HẪNG 1.0	H AA NGZ
CỦNG 1.0	K U NGZ
NỐT 1.0	N OO TC
BUỐT 1.0	B UO TC
LƠN 1.0	L OW NZ
VUỐT 1.0	V UO TC
LOAY 1.0	L W A IZ
HOAY 1.0	H W A IZ
VA 1.0	V A
NGHẸN 1.0	NG E NZ
DẶN 1.0	D AW NZ
RÚC 1.0	R U KC
LIỀU 1.0	L IE UZ
VẶN 1.0	V AW NZ
KHOAI 1.0	KH W A IZ
